  0.01	  -0.0049502486
  0.02	  -0.0098488275
  0.03	  -0.0146938628
  0.04	  -0.0194835253
  0.05	  -0.0242160298
  0.06	  -0.0288896393
  0.07	  -0.0335026607
  0.08	  -0.0380534530
  0.09	  -0.0425404124
  0.10	  -0.0469619930
  0.11	  -0.0513166897
  0.12	  -0.0556030460
  0.13	  -0.0598196536
  0.14	  -0.0639651641
  0.15	  -0.0680382550
  0.16	  -0.0720376670
  0.17	  -0.0759622008
  0.18	  -0.0798106790
  0.19	  -0.0835819915
  0.20	  -0.0872750804
  0.21	  -0.0908889174
  0.22	  -0.0944225490
  0.23	  -0.0978750512
  0.24	  -0.1012455523
  0.25	  -0.1045332402
  0.26	  -0.1077373400
  0.27	  -0.1108571365
  0.28	  -0.1138919443
  0.29	  -0.1168411523
  0.30	  -0.1197041795
  0.31	  -0.1224804893
  0.32	  -0.1251696050
  0.33	  -0.1277711093
  0.34	  -0.1302845925
  0.35	  -0.1327097118
  0.36	  -0.1350461990
  0.37	  -0.1372938007
  0.38	  -0.1394523084
  0.39	  -0.1415215582
  0.40	  -0.1435014457
  0.41	  -0.1453919262
  0.42	  -0.1471929401
  0.43	  -0.1489045322
  0.44	  -0.1505267620
  0.45	  -0.1520597488
  0.46	  -0.1535036117
  0.47	  -0.1548585743
  0.48	  -0.1561248451
  0.49	  -0.1573027074
  0.50	  -0.1583924741
  0.51	  -0.1593944877
  0.52	  -0.1603091508
  0.53	  -0.1611368805
  0.54	  -0.1618781537
  0.55	  -0.1625334769
  0.56	  -0.1631033719
  0.57	  -0.1635884345
  0.58	  -0.1639892757
  0.59	  -0.1643065214
  0.60	  -0.1645408571
  0.61	  -0.1646929979
  0.62	  -0.1647637039
  0.63	  -0.1647537351
  0.64	  -0.1646638960
  0.65	  -0.1644950211
  0.66	  -0.1642480046
  0.67	  -0.1639237106
  0.68	  -0.1635230929
  0.69	  -0.1630470753
  0.70	  -0.1624966562
  0.71	  -0.1618728340
  0.72	  -0.1611766517
  0.73	  -0.1604091376
  0.74	  -0.1595713943
  0.75	  -0.1586645246
  0.76	  -0.1576896310
  0.77	  -0.1566478759
  0.78	  -0.1555404365
  0.79	  -0.1543684751
  0.80	  -0.1531332135
  0.81	  -0.1518358737
  0.82	  -0.1504776925
  0.83	  -0.1490599364
  0.84	  -0.1475838870
  0.85	  -0.1460508257
  0.86	  -0.1444620639
  0.87	  -0.1428189278
